singer,singerLabel
http://www.wikidata.org/entity/Q164119,मार्क वाह्ल्बर्ग
http://www.wikidata.org/entity/Q234679,शेर्लोट रॉमप्लिंग
http://www.wikidata.org/entity/Q320146,लेओ फेरे
http://www.wikidata.org/entity/Q165219,रॉबर्ट डॉनी जुनियर
http://www.wikidata.org/entity/Q165518,इवन मक्ग्रेगोर
http://www.wikidata.org/entity/Q165911,अशर
http://www.wikidata.org/entity/Q167696,निकोल शेर्ज़िंगर
http://www.wikidata.org/entity/Q235384,लेओनोर वात्लिग
http://www.wikidata.org/entity/Q168012,अलिज़ी
http://www.wikidata.org/entity/Q168847,ब्रिटनी मर्फी
http://www.wikidata.org/entity/Q103343,जेनिफ़र कोनेली
http://www.wikidata.org/entity/Q169946,केट हडसन
http://www.wikidata.org/entity/Q235804,जेसिका लोन्डेस
http://www.wikidata.org/entity/Q104081,मिकी रूनी
http://www.wikidata.org/entity/Q170576,मिला जोवोविच
http://www.wikidata.org/entity/Q236047,हदीसा
http://www.wikidata.org/entity/Q172632,एमी ली
http://www.wikidata.org/entity/Q174957,नीना साइमन
http://www.wikidata.org/entity/Q174843,जेफ़ ब्रिज्स
http://www.wikidata.org/entity/Q106383,इसाबेल अदजानी
http://www.wikidata.org/entity/Q236378,जैकी इवेंको
http://www.wikidata.org/entity/Q331155,श्रुति हासन
http://www.wikidata.org/entity/Q177984,पीटर सेलर्स
http://www.wikidata.org/entity/Q107067,जगजीत सिंह
http://www.wikidata.org/entity/Q107130,राजेश खन्ना
http://www.wikidata.org/entity/Q334818,काम नज़रूल इस्लाम
http://www.wikidata.org/entity/Q108560,ए॰ आर॰ रहमान
http://www.wikidata.org/entity/Q109063,जिमी क्लिफ
http://www.wikidata.org/entity/Q180004,फ़र्गी
http://www.wikidata.org/entity/Q237537,मोइरा केली
http://www.wikidata.org/entity/Q181484,सिया फुर्लेर
http://www.wikidata.org/entity/Q182580,शर्ले टेम्पल
http://www.wikidata.org/entity/Q185140,ह्वाकीन फीनिक्स
http://www.wikidata.org/entity/Q186304,किम कार्दशियन
http://www.wikidata.org/entity/Q186327,मैरीलिन मैनसन
http://www.wikidata.org/entity/Q294907,जे शॉन
http://www.wikidata.org/entity/Q295502,डैरन क्रिस
http://www.wikidata.org/entity/Q373895,बेट्टी व्हाइट
http://www.wikidata.org/entity/Q187832,मैंडी मूर
http://www.wikidata.org/entity/Q187844,पिटबुल
http://www.wikidata.org/entity/Q296491,जॉर्ज सांडर्स
http://www.wikidata.org/entity/Q189489,ज़ैंडेया
http://www.wikidata.org/entity/Q189694,वेस्ली स्नाइप्स
http://www.wikidata.org/entity/Q351670,को कोमिटस
http://www.wikidata.org/entity/Q242023,कारमेन अमाया
http://www.wikidata.org/entity/Q380118,ह्यून बिन (अभिनेता)
http://www.wikidata.org/entity/Q242302,ईवा फरना
http://www.wikidata.org/entity/Q299073,नुसरत फतह अली खान
http://www.wikidata.org/entity/Q380147,लकी दूबे
http://www.wikidata.org/entity/Q355748,महमूद
http://www.wikidata.org/entity/Q356140,बेन ई. किंग
http://www.wikidata.org/entity/Q193338,डैनी एल्फमैन
http://www.wikidata.org/entity/Q381477,कमल हासन
http://www.wikidata.org/entity/Q193676,लुडाक्रिस
http://www.wikidata.org/entity/Q244441,पीट सीगर
http://www.wikidata.org/entity/Q383197,जिञटरा फूणलाप
http://www.wikidata.org/entity/Q194333,बिली जोएल
http://www.wikidata.org/entity/Q197355,झी लिन झांग
http://www.wikidata.org/entity/Q383541,बॉसहंटर
http://www.wikidata.org/entity/Q361642,मराक गुरसुता
http://www.wikidata.org/entity/Q200577,शॉन पॉल
http://www.wikidata.org/entity/Q395249,मेहदी हसन
http://www.wikidata.org/entity/Q201656,निक जोनस
