person,personLabel
http://www.wikidata.org/entity/Q158957,प्रियंका चोपड़ा
http://www.wikidata.org/entity/Q160318,नरोत्तम सीहनु
http://www.wikidata.org/entity/Q162202,निकी मिनाज
http://www.wikidata.org/entity/Q215072,जॉन गुडमैन
http://www.wikidata.org/entity/Q218992,नेली
http://www.wikidata.org/entity/Q221310,सुंदर
http://www.wikidata.org/entity/Q221908,यानिक नोहा
http://www.wikidata.org/entity/Q230925,ब्रेंडा ली
http://www.wikidata.org/entity/Q270712,मिकी जेम्स
http://www.wikidata.org/entity/Q295502,डैरन क्रिस
http://www.wikidata.org/entity/Q312003,हरिणी रवि
http://www.wikidata.org/entity/Q465981,कारेन डेविड
http://www.wikidata.org/entity/Q574312,अल्बर्ट विलजम हेगेलिन
http://www.wikidata.org/entity/Q76478,किर्स्टन डंस्ट
http://www.wikidata.org/entity/Q80424,नेली फ़र्टाडो
http://www.wikidata.org/entity/Q83493,सूज़न बॉयल
http://www.wikidata.org/entity/Q94208,इरा मालनुक
http://www.wikidata.org/entity/Q123121,पैट्रिक हर्नानडेज़
http://www.wikidata.org/entity/Q125106,सलमा हायेक
http://www.wikidata.org/entity/Q126599,क्रिस्टन स्टीवर्ट
http://www.wikidata.org/entity/Q127471,ऐश्ले टिस्डेल
http://www.wikidata.org/entity/Q130311,जॉर्ज माइकल
http://www.wikidata.org/entity/Q154216,कैट स्टीवंस
http://www.wikidata.org/entity/Q159577,जेट ली
http://www.wikidata.org/entity/Q174957,नीना साइमन
http://www.wikidata.org/entity/Q212015,जॉनी हॉलिडे
http://www.wikidata.org/entity/Q215219,जोजो
http://www.wikidata.org/entity/Q233253,जून कार्टर
http://www.wikidata.org/entity/Q233932,एमीना जाहोवीक
http://www.wikidata.org/entity/Q310580,डेविड कुक
http://www.wikidata.org/entity/Q311103,जेफ बेनेट
http://www.wikidata.org/entity/Q395249,मेहदी हसन
http://www.wikidata.org/entity/Q465067,एम. एस. सुब्बुलक्ष्मी
http://www.wikidata.org/entity/Q467315,कविता कृष्णमूर्ति
http://www.wikidata.org/entity/Q470416,गीता दत्त
http://www.wikidata.org/entity/Q129591,ह्यू जैकमैन
http://www.wikidata.org/entity/Q130799,जेम्स ब्लंट
http://www.wikidata.org/entity/Q131433,शानिया ट्वाइन
http://www.wikidata.org/entity/Q174843,जेफ़ ब्रिज्स
http://www.wikidata.org/entity/Q231093,माइम बियालिक
http://www.wikidata.org/entity/Q233229,कीशिया कोल
http://www.wikidata.org/entity/Q296491,जॉर्ज सांडर्स
http://www.wikidata.org/entity/Q311467,रोनेन कीटिंग
http://www.wikidata.org/entity/Q320146,लेओ फेरे
http://www.wikidata.org/entity/Q463902,जीनिवीव नाजी
http://www.wikidata.org/entity/Q464887,डी के पट्टम्माल
http://www.wikidata.org/entity/Q467423,रॉबिन थिक
http://www.wikidata.org/entity/Q471542,किशोर कुमार
http://www.wikidata.org/entity/Q472051,ग्लेन फ्रे
http://www.wikidata.org/entity/Q482907,ब्रायन एडम्स
http://www.wikidata.org/entity/Q76990,बेन
http://www.wikidata.org/entity/Q94081,बॉब होप
http://www.wikidata.org/entity/Q123174,वेनेसा हजेंस
http://www.wikidata.org/entity/Q129817,रसल क्रो
http://www.wikidata.org/entity/Q134575,चोई मिन-हो
http://www.wikidata.org/entity/Q156310,मन्ना डे
http://www.wikidata.org/entity/Q181484,सिया फुर्लेर
http://www.wikidata.org/entity/Q221155,टी-पैन
http://www.wikidata.org/entity/Q232120,एंजेला बैसेट
http://www.wikidata.org/entity/Q236762,मेरी डिग्बी
http://www.wikidata.org/entity/Q294907,जे शॉन
http://www.wikidata.org/entity/Q299073,नुसरत फतह अली खान
http://www.wikidata.org/entity/Q310763,शैग्गी (संगीतकार)
http://www.wikidata.org/entity/Q425728,नारायण गोपाल
http://www.wikidata.org/entity/Q562603,अन्ना मुथेसियस
http://www.wikidata.org/entity/Q380118,ह्यून बिन (अभिनेता)
